Time,Temperature
01/01/2016 00:00:00,40.17
01/01/2016 01:00:00,40.24
01/01/2016 02:00:00,39.99
01/01/2016 03:00:00,39.46
01/01/2016 04:00:00,39.17
01/01/2016 05:00:00,38.73
01/01/2016 06:00:00,38.61
01/01/2016 07:00:00,38.07
01/01/2016 08:00:00,38.1
01/01/2016 09:00:00,40.48
01/01/2016 10:00:00,42.95
01/01/2016 11:00:00,45.17
01/01/2016 12:00:00,46.72
01/01/2016 13:00:00,47.6
01/01/2016 14:00:00,48.33
01/01/2016 15:00:00,48.47
01/01/2016 16:00:00,47.83
01/01/2016 17:00:00,45.45
01/01/2016 18:00:00,43.77
01/01/2016 19:00:00,42.87
01/01/2016 20:00:00,42.44
01/01/2016 21:00:00,41.99
01/01/2016 22:00:00,42.19
01/01/2016 23:00:00,42.4
01/02/2016 00:00:00,42.28
01/02/2016 01:00:00,42.31
01/02/2016 02:00:00,42.44
01/02/2016 03:00:00,42.59
01/02/2016 04:00:00,42.52
01/02/2016 05:00:00,42.54
01/02/2016 06:00:00,42.54
01/02/2016 07:00:00,42.55
01/02/2016 08:00:00,42.71
01/02/2016 09:00:00,43.26
01/02/2016 10:00:00,44.6
01/02/2016 11:00:00,46.69
01/02/2016 12:00:00,48.18
01/02/2016 13:00:00,49.02
01/02/2016 14:00:00,49.33
01/02/2016 15:00:00,49.27
01/02/2016 16:00:00,48.95
01/02/2016 17:00:00,48.12
01/02/2016 18:00:00,46.98
01/02/2016 19:00:00,46.41
01/02/2016 20:00:00,46.16
01/02/2016 21:00:00,45.79
01/02/2016 22:00:00,45.36
01/02/2016 23:00:00,45.41
01/03/2016 00:00:00,45.64
01/03/2016 01:00:00,45.63
01/03/2016 02:00:00,45.71
01/03/2016 03:00:00,45.83
01/03/2016 04:00:00,45.04
01/03/2016 05:00:00,44.47
01/03/2016 06:00:00,44.07
01/03/2016 07:00:00,44.04
01/03/2016 08:00:00,44.9
01/03/2016 09:00:00,46.42
01/03/2016 10:00:00,47.44
01/03/2016 11:00:00,49.59
01/03/2016 12:00:00,51.02
01/03/2016 13:00:00,52.02
01/03/2016 14:00:00,53.36
01/03/2016 15:00:00,53.14
01/03/2016 16:00:00,52.63
01/03/2016 17:00:00,51.72
01/03/2016 18:00:00,50.87
01/03/2016 19:00:00,50.56
01/03/2016 20:00:00,50.32
01/03/2016 21:00:00,50.12
01/03/2016 22:00:00,49.33
01/03/2016 23:00:00,49
01/04/2016 00:00:00,48.64
01/04/2016 01:00:00,48.47
01/04/2016 02:00:00,48.53
01/04/2016 03:00:00,48.41
01/04/2016 04:00:00,48.15
01/04/2016 05:00:00,48.12
01/04/2016 06:00:00,47.57
01/04/2016 07:00:00,46.98
01/04/2016 08:00:00,46.55
01/04/2016 09:00:00,47.41
01/04/2016 10:00:00,48.67
01/04/2016 11:00:00,50.99
01/04/2016 12:00:00,53.13
01/04/2016 13:00:00,55.39
01/04/2016 14:00:00,56.05
01/04/2016 15:00:00,55.41
01/04/2016 16:00:00,54.78
01/04/2016 17:00:00,54.6
01/04/2016 18:00:00,54.16
01/04/2016 19:00:00,53.72
01/04/2016 20:00:00,53.75
01/04/2016 21:00:00,53.9
01/04/2016 22:00:00,54.29
01/04/2016 23:00:00,54.28
01/05/2016 00:00:00,53.98
01/05/2016 01:00:00,53.92
01/05/2016 02:00:00,53.34
01/05/2016 03:00:00,52.97
01/05/2016 04:00:00,52.66
01/05/2016 05:00:00,52.11
01/05/2016 06:00:00,51.7
01/05/2016 07:00:00,51.03
01/05/2016 08:00:00,50.56
01/05/2016 09:00:00,50.99
01/05/2016 10:00:00,51.73
01/05/2016 11:00:00,52.11
01/05/2016 12:00:00,51.53
01/05/2016 13:00:00,51.18
01/05/2016 14:00:00,51.07
01/05/2016 15:00:00,51.6
01/05/2016 16:00:00,52.4
01/05/2016 17:00:00,52.14
01/05/2016 18:00:00,51.6
01/05/2016 19:00:00,51.08
01/05/2016 20:00:00,50.16
01/05/2016 21:00:00,49.59
01/05/2016 22:00:00,49.79
01/05/2016 23:00:00,49.73
01/06/2016 00:00:00,49.5
01/06/2016 01:00:00,49.72
01/06/2016 02:00:00,50.12
01/06/2016 03:00:00,50.71
01/06/2016 04:00:00,50.65
01/06/2016 05:00:00,49.29
01/06/2016 06:00:00,48.51
01/06/2016 07:00:00,48.86
01/06/2016 08:00:00,48.77
01/06/2016 09:00:00,48.63
01/06/2016 10:00:00,49.56
01/06/2016 11:00:00,50.06
01/06/2016 12:00:00,50.42
01/06/2016 13:00:00,52.22
01/06/2016 14:00:00,52.52
01/06/2016 15:00:00,52.61
01/06/2016 16:00:00,52.19
01/06/2016 17:00:00,50.98
01/06/2016 18:00:00,50.01
01/06/2016 19:00:00,49.39
01/06/2016 20:00:00,48.55
01/06/2016 21:00:00,48.03
01/06/2016 22:00:00,47.55
01/06/2016 23:00:00,47.43
01/07/2016 00:00:00,47.14
01/07/2016 01:00:00,46.86
01/07/2016 02:00:00,46.08
01/07/2016 03:00:00,45.74
01/07/2016 04:00:00,45.7
01/07/2016 05:00:00,45.4
01/07/2016 06:00:00,45.08
01/07/2016 07:00:00,45.37
01/07/2016 08:00:00,45.6
01/07/2016 09:00:00,46.74
01/07/2016 10:00:00,48.12
01/07/2016 11:00:00,49.13
01/07/2016 12:00:00,50.18
01/07/2016 13:00:00,51.26
01/07/2016 14:00:00,51.98
01/07/2016 15:00:00,52.43
01/07/2016 16:00:00,52.53
01/07/2016 17:00:00,50.98
01/07/2016 18:00:00,48.38
01/07/2016 19:00:00,47.25
01/07/2016 20:00:00,46.32
01/07/2016 21:00:00,45.62
01/07/2016 22:00:00,44.74
01/07/2016 23:00:00,44.14
01/08/2016 00:00:00,43.61
01/08/2016 01:00:00,43.34
01/08/2016 02:00:00,43.35
01/08/2016 03:00:00,43.17
01/08/2016 04:00:00,43.19
01/08/2016 05:00:00,43.6
01/08/2016 06:00:00,43.94
01/08/2016 07:00:00,44.18
01/08/2016 08:00:00,44.44
01/08/2016 09:00:00,45.5
01/08/2016 10:00:00,47.19
01/08/2016 11:00:00,49.33
01/08/2016 12:00:00,50.32
01/08/2016 13:00:00,51.24
01/08/2016 14:00:00,52.13
01/08/2016 15:00:00,51.85
01/08/2016 16:00:00,51.25
01/08/2016 17:00:00,50.72
01/08/2016 18:00:00,49.95
01/08/2016 19:00:00,49.59
01/08/2016 20:00:00,49.36
01/08/2016 21:00:00,49.2
01/08/2016 22:00:00,49.08
01/08/2016 23:00:00,48.87
01/09/2016 00:00:00,49.01
01/09/2016 01:00:00,48.87
01/09/2016 02:00:00,48.84
01/09/2016 03:00:00,48.62
01/09/2016 04:00:00,48.29
01/09/2016 05:00:00,48.37
01/09/2016 06:00:00,47.99
01/09/2016 07:00:00,47.95
01/09/2016 08:00:00,48.26
01/09/2016 09:00:00,48.88
