"Temperature","ItemName","Quantity"
58,"Latte",106
60,"Latte",100
57,"Latte",99
59,"Latte",94
58,"Drip Coffee",89
63,"New Orleans Iced Coffee (cup)",89
60,"Drip Coffee",88
61,"Latte",86
58,"Cappuccino, Unknown",82
57,"Drip Coffee",81
56,"Latte",80
55,"Latte",78
59,"Drip Coffee",75
63,"Drip Coffee",74
58,"New Orleans Iced Coffee (cup)",74
62,"Drip Coffee",73
63,"Cappuccino, Unknown",72
65,"New Orleans Iced Coffee (cup)",70
65,"Latte",69
60,"Cappuccino, Unknown",68
56,"Drip Coffee",67
61,"Drip Coffee",66
63,"Latte",66
69,"New Orleans Iced Coffee (cup)",64
59,"Cappuccino, Unknown",63
57,"New Orleans Iced Coffee (cup)",63
67,"New Orleans Iced Coffee (cup)",62
62,"New Orleans Iced Coffee (cup)",62
62,"Latte",62
61,"New Orleans Iced Coffee (cup)",62
60,"New Orleans Iced Coffee (cup)",61
67,"Latte",61
56,"New Orleans Iced Coffee (cup)",59
54,"Latte",58
64,"Latte",58
55,"Cappuccino, Unknown",58
62,"Cappuccino, Unknown",58
56,"Cappuccino, Unknown",56
53,"Latte",55
68,"New Orleans Iced Coffee (cup)",55
70,"New Orleans Iced Coffee (cup)",54
65,"Drip Coffee",54
69,"Latte",54
57,"Cappuccino, Unknown",54
54,"Drip Coffee",54
55,"Drip Coffee",53
67,"Drip Coffee",50
71,"New Orleans Iced Coffee (cup)",49
59,"New Orleans Iced Coffee (cup)",49
61,"Cappuccino, Unknown",48
69,"Drip Coffee",47
68,"Latte",47
67,"Cappuccino, Unknown",46
68,"Cappuccino, Unknown",46
65,"Cappuccino, Unknown",46
66,"New Orleans Iced Coffee (cup)",44
70,"Latte",44
64,"New Orleans Iced Coffee (cup)",43
66,"Latte",42
73,"New Orleans Iced Coffee (cup)",42
64,"Cappuccino, Unknown",40
53,"Drip Coffee",40
69,"Cappuccino, Unknown",39
66,"Cappuccino, Unknown",39
64,"Drip Coffee",38
51,"Latte",37
58,"Drip Coffee",36
63,"New Orleans Iced Coffee (cup)",36
57,"Mocha",36
66,"Drip Coffee",34
54,"New Orleans Iced Coffee (cup)",34
54,"Cappuccino, Unknown",34
72,"New Orleans Iced Coffee (cup)",33
74,"New Orleans Iced Coffee (cup)",33
55,"New Orleans Iced Coffee (cup)",32
59,"Drip Coffee",30
68,"Drip Coffee",29
51,"Drip Coffee",29
65,"S.O. Iced Coffee",29
70,"Cappuccino, Unknown",29
71,"Cappuccino, Unknown",28
75,"New Orleans Iced Coffee (cup)",28
61,"New Orleans Iced Coffee (cup)",28
53,"Cappuccino, Unknown",27
57,"Drip Coffee",26
52,"Latte",26
53,"New Orleans Iced Coffee (cup)",25
50,"Latte",25
71,"Latte",25
51,"Cappuccino, Unknown",25
60,"Americano",25
70,"Drip Coffee",24
60,"Drip Coffee",24
58,"Mocha",24
60,"New Orleans Iced Coffee (cup)",24
63,"Americano",24
58,"Latte",24
61,"Drip Coffee",24
66,"New Orleans Iced Coffee (cup)",24
74,"Latte",23
73,"Cappuccino, Unknown",23
63,"S.O. Iced Coffee",22
60,"Chemex Coffee",22
61,"Mocha",22
71,"Drip Coffee",22
58,"Americano",22
50,"Cappuccino, Unknown",22
61,"S.O. Iced Coffee",21
70,"S.O. Iced Coffee",21
72,"Drip Coffee",21
54,"Mocha",21
60,"Mocha",21
64,"Americano",21
65,"Cappuccino, Unknown",20
65,"New Orleans Iced Coffee (cup)",20
57,"New Orleans Iced Coffee (cup)",20
78,"New Orleans Iced Coffee (cup)",20
59,"Mocha",20
72,"Latte",20
73,"Latte",20
59,"Americano",20
70,"New Orleans Iced Coffee (cup)",20
69,"S.O. Iced Coffee",19
56,"Mocha",19
76,"New Orleans Iced Coffee (cup)",19
52,"Cappuccino, Unknown",19
57,"Chemex Coffee",19
57,"Americano",19
72,"Cappuccino, Unknown",19
52,"New Orleans Iced Coffee (cup)",19
52,"Drip Coffee",18
59,"Latte",18
