"item_name","avg_sale_when_colder","avg_sale_when_warmer"
"Americano",0.0000,0.0000
"Apple Juice",0.0000,0.0000
"Cappuccino, Unknown",0.0531,0.0652
"Chemex Coffee",0.0000,0.0000
"Drip Coffee",0.0430,0.1003
"Espresso",0.0000,0.0000
"Gibraltar",0.0000,0.0000
"Hot Chocolate",0.0000,0.0000
"Latte",0.0234,0.0055
"Macchiato",0.0000,0.0000
"Mocha",0.1481,0.2432
"New Orleans Iced Coffee (cup)",0.0408,-0.0351
"NOLA Carton",-0.7599,0.0000
"S.O. Iced - 4 oz Oji",0.0000,0.0000
"S.O. Iced Coffee",0.1738,-0.0149
"Still Water",0.0000,0.0000
"Tea",0.0000,0.0000
